Nodo2, Nodo6, 130, 65, 38, 28, 14, 1
Nodo6, Nodo7, 115, 58, 33, 23, 12, 1
Nodo8, Nodo1, 150, 75, 45, 30, 15, 1
Nodo8, Nodo2, 140, 70, 40, 25, 12, 0
Nodo5, Nodo3, 130, 65, 35, 20, 10, 1
Nodo8, Nodo4, 120, 60, 30, 18, 9, 0
Nodo8, Nodo5, 110, 55, 28, 15, 7, 1
Nodo9, Nodo4, 180, 90, 60, 45, 22, 0
Nodo9, Nodo11, 190, 95, 65, 50, 25, 1
Nodo10, Nodo5, 200, 100, 70, 55, 28, 0
Nodo10, Nodo13, 180, 90, 60, 45, 22, 0
Nodo10, Nodo5, 200, 100, 70, 55, 28, 0
Nodo7, Nodo8, 200, 100, 70, 55, 28, 0
Nodo8, Nodo9, 200, 100, 70, 55, 28, 0
Nodo8, Nodo11, 200, 100, 70, 55, 28, 0
Nodo1, Nodo12, 200, 100, 70, 55, 28, 0
Nodo3, Nodo13, 200, 100, 70, 55, 28, 0
